date,Temperature_Max,Dew_Point_Max,Humidity_Max,Pressure_Max
1/1/2008,78,36,53,30.15
1/2/2008,80,39,41,30.06
1/3/2008,80,43,58,30.09
1/4/2008,71,57,82,30.09
1/5/2008,66,57,94,30.18
1/6/2008,64,45,93,30.18
1/7/2008,53,21,49,30.24
1/8/2008,59,14,38,30.21
1/9/2008,64,16,38,30.36
1/10/2008,62,21,29,30.15
1/11/2008,66,41,71,30.12
1/12/2008,51,41,87,30.24
1/13/2008,44,39,100,30.21
1/14/2008,44,34,81,30.24
1/15/2008,48,14,41,30.3
1/16/2008,50,7,40,30.39
1/17/2008,51,10,39,30.45
1/18/2008,57,9,23,30.33
1/19/2008,66,32,41,30.18
1/20/2008,71,37,58,30.15
1/21/2008,78,46,72,30.12
1/22/2008,55,52,94,30.12
1/23/2008,69,52,82,30.06
1/24/2008,66,45,87,30.15
1/25/2008,59,48,87,30.18
1/26/2008,69,50,88,30.04
1/27/2008,64,48,77,30.09
1/28/2008,66,41,76,30.15
1/29/2008,68,39,71,30.15
1/30/2008,75,39,44,30.04
1/31/2008,68,28,43,30.12
2/1/2008,57,25,49,30.3
2/2/2008,59,23,56,30.36
2/3/2008,60,23,43,30.3
2/4/2008,59,23,52,30.3
2/5/2008,60,12,41,30.33
2/6/2008,60,14,30,30.33
2/7/2008,66,28,60,30.27
2/8/2008,73,32,47,30.18
2/9/2008,77,19,24,30.24
2/10/2008,78,25,30,30.21
2/11/2008,80,27,35,30.15
2/12/2008,84,25,26,30.09
2/13/2008,75,39,51,30.18
2/14/2008,75,36,43,30.18
2/15/2008,71,39,45,30.18
2/16/2008,62,32,50,30.3
2/17/2008,71,30,46,30.27
2/18/2008,80,41,41,30.15
2/19/2008,87,41,55,30.15
2/20/2008,62,28,38,30.36
2/21/2008,59,25,53,30.48
2/22/2008,64,7,26,30.45
2/23/2008,68,7,21,30.39
2/24/2008,73,9,18,30.27
2/25/2008,82,18,16,30.09
2/26/2008,86,16,15,30.01
2/27/2008,69,43,55,30.24
2/28/2008,71,36,47,30.33
2/29/2008,73,32,43,30.3
3/1/2008,82,28,37,30.15
3/2/2008,89,25,30,30.04
3/3/2008,91,30,20,29.98
3/4/2008,77,32,32,30.12
3/5/2008,75,25,30,30.18
3/6/2008,77,14,24,30.18
3/7/2008,78,16,23,30.21
3/8/2008,82,12,24,30.21
3/9/2008,82,18,17,30.18
3/10/2008,86,18,19,30.18
3/11/2008,86,18,22,30.12
3/12/2008,89,19,21,30.01
3/13/2008,91,19,18,29.92
3/14/2008,82,52,53,30.06
3/15/2008,80,28,27,30.12
3/16/2008,84,30,24,30.12
3/17/2008,84,36,37,30.12
3/18/2008,93,27,24,30.04
3/19/2008,95,25,22,29.95
3/20/2008,86,34,20,30.04
3/21/2008,91,30,25,30.06
3/22/2008,89,25,23,30.09
3/23/2008,93,19,15,30.06
3/24/2008,95,21,16,30.04
3/25/2008,96,21,18,29.95
3/26/2008,98,21,15,29.89
3/27/2008,96,19,13,29.86
3/28/2008,93,19,13,29.89
3/29/2008,95,23,15,29.92
3/30/2008,96,25,15,29.92
3/31/2008,98,25,16,29.83
4/1/2008,96,27,21,29.89
4/2/2008,87,28,21,30.04
4/3/2008,84,30,26,30.06
4/4/2008,98,27,20,29.92
4/5/2008,87,59,42,30.01
4/6/2008,89,23,17,30.06
4/7/2008,98,39,24,29.98
4/8/2008,87,54,53,30.01
4/9/2008,77,63,88,30.09
4/10/2008,82,57,88,30.06
4/11/2008,89,52,56,30.06
4/12/2008,91,54,50,30.01
4/13/2008,91,54,53,30.09
4/14/2008,89,45,43,30.06
4/15/2008,95,39,40,30.01
4/16/2008,100,37,30,30.01
4/17/2008,102,37,20,29.95
4/18/2008,87,27,18,30.04
4/19/2008,89,21,22,30.04
4/20/2008,98,21,13,29.92
4/21/2008,93,23,15,30.04
4/22/2008,95,21,19,30.06
4/23/2008,96,25,21,30.06
4/24/2008,96,27,21,30.06
4/25/2008,96,23,17,30.01
4/26/2008,98,23,15,30.04
4/27/2008,100,25,17,29.98
4/28/2008,100,27,15,29.92
4/29/2008,98,39,19,29.83
4/30/2008,91,48,34,29.92
5/1/2008,95,48,32,29.95
5/2/2008,95,57,57,29.92
5/3/2008,95,55,60,29.89
5/4/2008,98,48,27,29.89
5/5/2008,102,43,27,29.89
5/6/2008,98,30,17,29.89
5/7/2008,100,23,15,29.86
5/8/2008,102,28,19,29.8
5/9/2008,98,28,19,29.92
5/10/2008,105,32,23,29.89
5/11/2008,102,48,43,29.92
5/12/2008,100,41,24,29.92
5/13/2008,102,37,19,29.98
5/14/2008,104,36,21,29.95
5/15/2008,104,37,20,29.92
5/16/2008,102,30,18,29.95
5/17/2008,100,36,15,29.95
5/18/2008,105,45,23,29.89
5/19/2008,98,48,30,29.92
5/20/2008,104,45,30,29.95
5/21/2008,100,43,26,29.95
